epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,719.602,1.30743,1.22879,1.1057,0.75601,0.34506,0.48589,0.22688,2.0258,3.07582,1.57813,0.000834822,0.000834822,0.000834822
44,737.802,1.27349,1.33982,1.07377,0.72105,0.3903,0.56009,0.23359,1.92948,2.96039,1.45343,0.000820675,0.000820675,0.000820675
45,755.632,1.17251,1.16707,1.04552,0.72105,0.3903,0.56009,0.23359,1.92948,2.96039,1.45343,0.000806528,0.000806528,0.000806528
46,772.479,1.22726,1.23122,1.08221,0.6789,0.40395,0.56494,0.22201,1.90931,2.91269,1.39985,0.00079238,0.00079238,0.00079238
47,788.564,1.23613,1.30199,1.12986,0.48211,0.27754,0.50967,0.17608,2.02984,2.9612,1.46322,0.000778233,0.000778233,0.000778233
48,804.496,1.24957,1.20718,1.07747,0.59038,0.46888,0.56866,0.24304,1.86949,2.75867,1.42835,0.000764086,0.000764086,0.000764086
49,820.49,1.20405,1.14236,1.06138,0.59038,0.46888,0.56866,0.24304,1.86949,2.75867,1.42835,0.000749939,0.000749939,0.000749939
50,836.753,1.21692,1.20956,1.0732,0.82914,0.63333,0.79382,0.45963,1.45096,2.18243,1.27944,0.000735792,0.000735792,0.000735792
51,853.453,1.30251,1.15662,1.04245,0.88058,0.74234,0.89324,0.54004,1.39637,1.9314,1.23898,0.000721645,0.000721645,0.000721645
52,870.383,1.18149,1.13862,1.0143,0.9121,0.79743,0.9142,0.56267,1.4215,1.74515,1.23106,0.000707498,0.000707498,0.000707498
53,889.891,1.25793,1.11541,1.02588,0.9121,0.79743,0.9142,0.56267,1.4215,1.74515,1.23106,0.000693351,0.000693351,0.000693351
54,909.292,1.18203,1.06688,1.04846,0.90086,0.9,0.93279,0.565,1.46712,1.62936,1.24586,0.000679204,0.000679204,0.000679204
55,925.281,1.22639,1.17431,1.07487,0.94515,0.92656,0.9587,0.54668,1.52803,1.52752,1.26192,0.000665057,0.000665057,0.000665057
56,942.269,1.30227,1.16817,1.06501,0.92969,0.84662,0.94942,0.5036,1.58212,1.5036,1.26745,0.000650909,0.000650909,0.000650909
57,958.204,1.18516,1.05005,1.04465,0.92969,0.84662,0.94942,0.5036,1.58212,1.5036,1.26745,0.000636762,0.000636762,0.000636762
58,977.597,1.17099,1.04974,1.01676,0.88114,0.95709,0.97458,0.54096,1.50068,1.43028,1.21559,0.000622615,0.000622615,0.000622615
59,1000.05,1.09949,1.07839,1.03234,0.88205,0.92757,0.96311,0.53604,1.49647,1.43334,1.2065,0.000608468,0.000608468,0.000608468
60,1022.59,1.10269,1.04848,1.0119,0.89073,0.91779,0.94135,0.51931,1.49552,1.43426,1.22076,0.000594321,0.000594321,0.000594321
