epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6464.17,1.30297,0.82254,1.10333,0.92984,0.96998,0.95679,0.5214,1.47097,0.84231,1.28073,0.000848969,0.000848969,0.000848969
43,6569.57,1.29918,0.79273,1.11407,0.91984,0.95933,0.96355,0.55143,1.36595,0.825,1.27382,0.000834822,0.000834822,0.000834822
44,6675.83,1.32459,0.81009,1.12413,0.9449,0.96539,0.97111,0.54535,1.44652,0.84715,1.26774,0.000820675,0.000820675,0.000820675
45,6780.68,1.28374,0.79804,1.10842,0.93956,0.97102,0.96667,0.53325,1.44646,0.85156,1.27441,0.000806528,0.000806528,0.000806528
46,6886.21,1.30388,0.79634,1.10781,0.94759,0.95521,0.97176,0.5645,1.31528,0.83389,1.26112,0.00079238,0.00079238,0.00079238
47,6992.32,1.30771,0.80578,1.15019,0.95489,0.96133,0.96071,0.50145,1.54683,0.83697,1.27538,0.000778233,0.000778233,0.000778233
48,7097.72,1.32289,0.79368,1.12116,0.9448,0.93834,0.96301,0.52525,1.43662,0.84732,1.34174,0.000764086,0.000764086,0.000764086
49,7202.81,1.29012,0.79611,1.09729,0.94886,0.94024,0.95861,0.55378,1.35746,0.8217,1.26786,0.000749939,0.000749939,0.000749939
50,7308.84,1.24795,0.76886,1.09228,0.95962,0.95636,0.96203,0.54776,1.42352,0.78449,1.28266,0.000735792,0.000735792,0.000735792
51,7414.87,1.3367,0.79055,1.12401,0.95726,0.9481,0.9626,0.54933,1.39566,0.80948,1.23913,0.000721645,0.000721645,0.000721645
52,7520.49,1.2672,0.76733,1.10856,0.95441,0.94327,0.96971,0.52434,1.52812,0.81872,1.27211,0.000707498,0.000707498,0.000707498
53,7627.24,1.28841,0.78611,1.12123,0.94993,0.94894,0.96601,0.57593,1.382,0.76993,1.26885,0.000693351,0.000693351,0.000693351
54,7733.08,1.34673,0.79337,1.13603,0.9473,0.94568,0.95998,0.56011,1.37324,0.79105,1.27302,0.000679204,0.000679204,0.000679204
55,7839.01,1.31869,0.78951,1.10492,0.97045,0.94988,0.96224,0.56684,1.40984,0.7766,1.31017,0.000665057,0.000665057,0.000665057
56,7943.87,1.2836,0.75181,1.10022,0.9137,0.94658,0.95335,0.54766,1.40316,0.80961,1.31419,0.000650909,0.000650909,0.000650909
57,8050.47,1.2672,0.76224,1.11133,0.91348,0.96239,0.95593,0.53104,1.44309,0.80619,1.29697,0.000636762,0.000636762,0.000636762
58,8158.51,1.26071,0.74874,1.08601,0.93237,0.95705,0.96611,0.52052,1.49681,0.79352,1.28571,0.000622615,0.000622615,0.000622615
59,8265.9,1.26932,0.74326,1.1009,0.96357,0.95371,0.96928,0.57913,1.3837,0.74622,1.27547,0.000608468,0.000608468,0.000608468
60,8371.53,1.23216,0.71898,1.09008,0.94403,0.94631,0.96855,0.56981,1.38232,0.77115,1.27674,0.000594321,0.000594321,0.000594321
61,8478.88,1.21908,0.71116,1.07963,0.95957,0.94285,0.9705,0.58135,1.34333,0.72943,1.2625,0.000580174,0.000580174,0.000580174
62,8583.31,1.23946,0.7122,1.07579,0.95681,0.95225,0.96886,0.56244,1.41899,0.77652,1.2685,0.000566027,0.000566027,0.000566027
63,8686.92,1.21438,0.71338,1.07241,0.94616,0.96008,0.97247,0.57715,1.36751,0.76974,1.25538,0.00055188,0.00055188,0.00055188
64,9225.56,1.24459,0.74155,1.10348,0.95742,0.95114,0.96723,0.54116,1.51639,0.77357,1.29278,0.000537733,0.000537733,0.000537733
65,9323.91,1.18666,0.71118,1.07459,0.96382,0.95097,0.9659,0.59071,1.3684,0.73684,1.28399,0.000523586,0.000523586,0.000523586
66,9421.11,1.24034,0.70186,1.09146,0.96846,0.95761,0.97104,0.58833,1.35719,0.73025,1.2773,0.000509438,0.000509438,0.000509438
67,9521.86,1.22689,0.69735,1.08115,0.9711,0.96123,0.97352,0.57148,1.43066,0.7277,1.28897,0.000495291,0.000495291,0.000495291
68,9627.48,1.2388,0.70319,1.07939,0.94219,0.95791,0.97033,0.53489,1.54823,0.76187,1.28625,0.000481144,0.000481144,0.000481144
69,9740.47,1.17175,0.68371,1.06171,0.95408,0.9531,0.96087,0.53171,1.5122,0.73439,1.28742,0.000466997,0.000466997,0.000466997
70,9860.15,1.23013,0.69109,1.06667,0.95464,0.9352,0.95946,0.58022,1.39721,0.71289,1.29455,0.00045285,0.00045285,0.00045285
71,9978.8,1.20721,0.7025,1.06138,0.94967,0.94705,0.9573,0.51864,1.56934,0.76539,1.33156,0.000438703,0.000438703,0.000438703
72,10100,1.22807,0.68602,1.08733,0.94461,0.96023,0.96347,0.5782,1.38792,0.70694,1.30473,0.000424556,0.000424556,0.000424556
73,10219.2,1.20327,0.67585,1.07772,0.94584,0.94784,0.95643,0.55537,1.44911,0.72803,1.30883,0.000410409,0.000410409,0.000410409
74,10339.2,1.19694,0.67569,1.0636,0.95623,0.94064,0.96345,0.5528,1.4518,0.74369,1.30543,0.000396262,0.000396262,0.000396262
75,10452.6,1.20616,0.66432,1.06373,0.96484,0.95544,0.97683,0.57792,1.38692,0.73679,1.27387,0.000382115,0.000382115,0.000382115
76,10558.9,1.17785,0.66165,1.05904,0.96917,0.94831,0.96808,0.55455,1.4745,0.75578,1.2815,0.000367967,0.000367967,0.000367967
77,10664.6,1.19132,0.645,1.06473,0.95776,0.96172,0.9707,0.5608,1.44401,0.73807,1.26685,0.00035382,0.00035382,0.00035382
78,10770.1,1.18544,0.6346,1.0781,0.97255,0.95438,0.9661,0.52981,1.54914,0.74341,1.27241,0.000339673,0.000339673,0.000339673
79,10874.7,1.22112,0.67276,1.07413,0.96476,0.95906,0.96797,0.58124,1.36575,0.713,1.25663,0.000325526,0.000325526,0.000325526
80,10979.4,1.12823,0.62781,1.04942,0.96048,0.95512,0.96437,0.55653,1.40066,0.73806,1.25394,0.000311379,0.000311379,0.000311379
81,11086.4,1.14098,0.64001,1.03779,0.96378,0.96269,0.96822,0.57849,1.3517,0.70968,1.2595,0.000297232,0.000297232,0.000297232
82,11194.7,1.16624,0.63896,1.05085,0.96846,0.96261,0.9766,0.58792,1.35961,0.70321,1.24958,0.000283085,0.000283085,0.000283085
83,11349,1.11899,0.6244,1.02546,0.96812,0.94742,0.9734,0.57094,1.37268,0.72583,1.25282,0.000268938,0.000268938,0.000268938
84,11544.1,1.12411,0.62476,1.02398,0.96154,0.95489,0.97522,0.57705,1.38768,0.70895,1.27863,0.000254791,0.000254791,0.000254791
85,11773.7,1.10843,0.62904,1.0387,0.96181,0.96718,0.98081,0.58569,1.38614,0.7042,1.2632,0.000240644,0.000240644,0.000240644
86,11986.5,1.12648,0.63825,1.03693,0.9697,0.96638,0.97278,0.59138,1.34207,0.70574,1.25778,0.000226497,0.000226497,0.000226497
87,12177.5,1.14236,0.62508,1.04846,0.9623,0.9603,0.96727,0.56634,1.42412,0.71937,1.2659,0.000212349,0.000212349,0.000212349
88,12364.2,1.10707,0.61343,1.03463,0.96397,0.94337,0.9639,0.58453,1.37693,0.70113,1.25745,0.000198202,0.000198202,0.000198202
89,12580.4,1.11142,0.6099,1.04584,0.95631,0.94764,0.96379,0.58756,1.34742,0.70049,1.24842,0.000184055,0.000184055,0.000184055
90,12789.9,1.08737,0.6046,1.02757,0.9624,0.95341,0.96539,0.55587,1.45837,0.72556,1.26045,0.000169908,0.000169908,0.000169908
91,12935.7,1.13309,0.59373,1.10016,0.95937,0.95681,0.96686,0.56606,1.42133,0.70521,1.25565,0.000155761,0.000155761,0.000155761
92,13083.5,1.07752,0.5804,1.07063,0.95951,0.95711,0.96754,0.57187,1.40705,0.70707,1.26463,0.000141614,0.000141614,0.000141614
93,13238.5,1.06882,0.59445,1.0531,0.95945,0.96045,0.9702,0.55251,1.45472,0.71934,1.27792,0.000127467,0.000127467,0.000127467
94,13406.1,1.06874,0.56178,1.06647,0.96214,0.9546,0.96775,0.57952,1.37359,0.70693,1.26412,0.00011332,0.00011332,0.00011332
95,13547.1,1.02878,0.55012,1.05346,0.962,0.95697,0.966,0.58537,1.35933,0.69311,1.26545,9.91726e-05,9.91726e-05,9.91726e-05
96,13680.6,1.03624,0.54858,1.02486,0.96311,0.95711,0.96688,0.57462,1.41023,0.69589,1.26292,8.50255e-05,8.50255e-05,8.50255e-05
97,13810.9,1.02038,0.56228,1.01468,0.96685,0.95918,0.96742,0.57555,1.40902,0.69455,1.26334,7.08784e-05,7.08784e-05,7.08784e-05
98,13937.1,1.00755,0.54808,1.03794,0.97044,0.95711,0.96774,0.5789,1.38912,0.69212,1.2574,5.67313e-05,5.67313e-05,5.67313e-05
99,14068.7,1.00674,0.53353,1.01569,0.97033,0.9563,0.96925,0.58257,1.3834,0.68602,1.2466,4.25842e-05,4.25842e-05,4.25842e-05
100,14211.3,1.01321,0.53817,1.03941,0.9714,0.96218,0.96966,0.58489,1.38615,0.68692,1.24564,2.84371e-05,2.84371e-05,2.84371e-05
